epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,252.587,0.35273,0.3867,0.91945,0.96446,0.97444,0.98981,0.95652,0.34535,0.32567,0.8988,0.0006502,0.0006502,0.0006502
55,257.345,0.36124,0.37177,0.91233,0.82565,0.89671,0.96047,0.9,0.40087,0.64267,0.91075,0.0006436,0.0006436,0.0006436
56,262.091,0.36088,0.39112,0.92706,0.92396,0.91976,0.97953,0.91326,0.42521,0.41762,0.92363,0.000637,0.000637,0.000637
57,266.824,0.36429,0.40606,0.92018,0.94763,0.94479,0.97442,0.9011,0.43638,0.39397,0.93102,0.0006304,0.0006304,0.0006304
58,271.574,0.38799,0.39706,0.91874,0.8655,0.90939,0.97977,0.91947,0.38738,0.49715,0.92129,0.0006238,0.0006238,0.0006238
59,276.316,0.35915,0.39201,0.90222,0.89413,0.96597,0.97496,0.91111,0.3841,0.39277,0.92463,0.0006172,0.0006172,0.0006172
60,281.037,0.40765,0.39853,0.93662,0.89657,0.92736,0.98586,0.93419,0.36703,0.38231,0.91769,0.0006106,0.0006106,0.0006106
61,285.73,0.36877,0.35182,0.91846,0.87463,0.96158,0.98123,0.91788,0.38613,0.44513,0.93389,0.000604,0.000604,0.000604
62,290.437,0.38125,0.38894,0.92898,0.9236,0.94781,0.98309,0.93385,0.3619,0.37252,0.91395,0.0005974,0.0005974,0.0005974
63,295.132,0.36596,0.36902,0.9183,0.9214,0.92237,0.97005,0.91663,0.37579,0.42003,0.91644,0.0005908,0.0005908,0.0005908
64,299.837,0.36096,0.37231,0.91153,0.85387,0.88034,0.96056,0.90698,0.36367,0.58682,0.90896,0.0005842,0.0005842,0.0005842
65,304.545,0.34552,0.377,0.91761,0.87676,0.85676,0.96318,0.91172,0.35168,0.45848,0.90737,0.0005776,0.0005776,0.0005776
66,309.266,0.35905,0.40261,0.90605,0.90551,0.92238,0.9882,0.94039,0.39744,0.39306,0.95139,0.000571,0.000571,0.000571
67,313.973,0.32987,0.36152,0.90767,0.92649,0.94297,0.98768,0.93166,0.37352,0.33342,0.90365,0.0005644,0.0005644,0.0005644
68,318.694,0.36277,0.36941,0.93534,0.91075,0.87748,0.97625,0.9344,0.36258,0.53779,0.89558,0.0005578,0.0005578,0.0005578
69,323.384,0.33621,0.36323,0.91212,0.96025,0.95778,0.98484,0.942,0.37641,0.36099,0.92229,0.0005512,0.0005512,0.0005512
70,328.078,0.3677,0.37245,0.914,0.91514,0.91833,0.9655,0.9121,0.38235,0.43978,0.91676,0.0005446,0.0005446,0.0005446
71,332.776,0.34513,0.36481,0.9119,0.96404,0.97152,0.98207,0.93065,0.35404,0.33167,0.90711,0.000538,0.000538,0.000538
72,337.477,0.31058,0.33046,0.90614,0.9628,0.97333,0.97824,0.92913,0.35895,0.3307,0.92429,0.0005314,0.0005314,0.0005314
73,342.182,0.34186,0.33947,0.9066,0.93194,0.95386,0.98846,0.94719,0.35942,0.37034,0.9153,0.0005248,0.0005248,0.0005248
74,346.919,0.36258,0.34553,0.90982,0.91387,0.94257,0.9793,0.93326,0.37024,0.38639,0.93213,0.0005182,0.0005182,0.0005182
75,351.654,0.36963,0.33932,0.92262,0.87695,0.92159,0.97923,0.92867,0.35674,0.45608,0.90682,0.0005116,0.0005116,0.0005116
76,356.446,0.3421,0.35273,0.90567,0.86439,0.92525,0.96552,0.92295,0.3557,0.45041,0.91686,0.000505,0.000505,0.000505
77,361.155,0.33383,0.3308,0.91098,0.89297,0.91721,0.98088,0.94787,0.33734,0.45575,0.90716,0.0004984,0.0004984,0.0004984
78,365.873,0.32453,0.32139,0.90005,0.97604,0.97469,0.99283,0.95247,0.34413,0.27776,0.90414,0.0004918,0.0004918,0.0004918
79,370.601,0.33133,0.32002,0.90722,0.95349,0.93973,0.9919,0.94123,0.3528,0.33942,0.90257,0.0004852,0.0004852,0.0004852
80,375.301,0.33089,0.31636,0.90149,0.94187,0.94704,0.96506,0.91941,0.35082,0.37615,0.89323,0.0004786,0.0004786,0.0004786
81,379.996,0.32591,0.30293,0.89735,0.94253,0.94617,0.9631,0.91796,0.35581,0.37702,0.90432,0.000472,0.000472,0.000472
82,384.714,0.32613,0.35992,0.9139,0.95096,0.90362,0.96756,0.91543,0.36986,0.40985,0.92294,0.0004654,0.0004654,0.0004654
83,389.422,0.31642,0.31343,0.90491,0.93056,0.93552,0.98962,0.9529,0.34753,0.34839,0.89861,0.0004588,0.0004588,0.0004588
84,394.135,0.30495,0.2938,0.90252,0.89631,0.95209,0.98962,0.94497,0.34109,0.34781,0.90488,0.0004522,0.0004522,0.0004522
