epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,256.067,0.37823,0.53541,0.9423,0.86625,0.90874,0.95074,0.89369,0.38294,0.48767,0.95951,0.0006238,0.0006238,0.0006238
59,260.538,0.37042,0.55404,0.96488,0.89255,0.87352,0.97095,0.8982,0.38929,0.5189,0.9566,0.0006172,0.0006172,0.0006172
60,264.852,0.37002,0.51755,0.97264,0.9349,0.95,0.96747,0.88838,0.40371,0.44691,0.97037,0.0006106,0.0006106,0.0006106
61,269.291,0.3875,0.52607,0.95674,0.97725,0.98667,0.995,0.93236,0.39534,0.37457,0.96122,0.000604,0.000604,0.000604
62,273.62,0.3666,0.49784,0.95398,0.97569,0.94314,0.99222,0.92721,0.37319,0.40263,0.94143,0.0005974,0.0005974,0.0005974
63,277.977,0.36947,0.48527,0.95458,0.76897,0.9352,0.97762,0.91057,0.40305,0.64963,0.9688,0.0005908,0.0005908,0.0005908
64,282.37,0.37601,0.51682,0.9631,0.95506,0.95476,0.97918,0.91851,0.37796,0.39845,0.94304,0.0005842,0.0005842,0.0005842
65,286.88,0.33766,0.49643,0.94375,0.977,0.95672,0.99083,0.92833,0.37799,0.39679,0.94275,0.0005776,0.0005776,0.0005776
66,291.183,0.38094,0.50342,0.95051,0.96031,0.96657,0.99109,0.92585,0.37812,0.38709,0.95312,0.000571,0.000571,0.000571
67,295.564,0.3458,0.47821,0.94432,0.98248,0.97454,0.99341,0.92737,0.37551,0.35833,0.95188,0.0005644,0.0005644,0.0005644
68,299.904,0.36944,0.50069,0.96042,0.91931,0.93982,0.98365,0.9285,0.36158,0.42646,0.92278,0.0005578,0.0005578,0.0005578
69,304.377,0.35839,0.46846,0.96224,0.94229,0.9955,0.995,0.93164,0.37581,0.34476,0.93164,0.0005512,0.0005512,0.0005512
70,308.722,0.35667,0.48032,0.94946,0.93846,0.89621,0.97887,0.90834,0.40945,0.48123,0.96723,0.0005446,0.0005446,0.0005446
71,313.006,0.33156,0.46522,0.93797,0.87134,0.91259,0.99036,0.92466,0.37961,0.49725,0.94827,0.000538,0.000538,0.000538
72,317.414,0.36076,0.47089,0.94876,0.93653,0.9352,0.99135,0.9166,0.38155,0.39941,0.93193,0.0005314,0.0005314,0.0005314
